,군집1,군집2,군집3,군집4,군집5
건성,0.1431,0.1201,0.0263,0.1122,0.0958
복합성,0.2403,0.2240,0.0407,0.1849,0.1909
지성,0.0577,0.0597,0.0197,0.0384,0.0585
아토피,0.0215,0.0396,0.0458,0.0377,0.0191
탄력,0.0392,0.0383,0.0083,0.0456,0.0229
피지과다,0.0134,0.0094,0.0083,0.0065,0.0120
모공,0.5315,0.5340,0.5583,0.5266,0.5493
트러블,0.1037,0.1175,0.1208,0.0958,0.1426
각질,0.3236,0.2688,0.2917,0.2630,0.2798
잡티,0.1534,0.1463,0.1458,0.1626,0.1519
블랙헤드,0.1147,0.1382,0.1500,0.1366,0.1639
홍조,0.0244,0.0299,0.0083,0.0249,0.0256
주름,0.0425,0.0349,0.0500,0.0509,0.0316
다크서클,0.0583,0.0732,0.0792,0.0745,0.0452
미백,0.2251,0.2431,0.2000,0.2223,0.2036
