,index,product_id,reviewer,reviewer_rank,specialist,user_score,on_off,review,help,year,month,day,ÀâÆ¼,Æ®·¯ºí,°¢Áú,ÄðÅæ,°Ç¼º,all,Åº·Â,¹Ì¹é,Áö¼º,¿úÅæ,¹Î°¨¼º,¾ÆÅäÇÇ,º¹ÇÕ¼º,¸ð°ø,ÁÖ¸§,ºí·¢Çìµå,´ÙÅ©¼­Å¬,º¸½À·Â,²öÀûÀÓ,Çâ,¹ß¸²¼º,Áö¼Ó·Â,¼¼Á¤·Â,ÀÚ±Øµµ
0,0,A000000177840,ksy9****,0,0,5,1,¼ÖÁ÷È÷ ¸»ÇØ¼­ Èí¼ö·ÂÀº ±×Áö°°¾Æ¿ë ÇÏ¾é°Ô ³²¾Æ¼­ ¿©·¯¹ø ¹Ù¸£°í µÎµé°Ü¾ß ±×Á¦¾ß Èí¼ö°¡ µÇ´Â ÅØ½ºÃ³°Åµç¿ä?? ±Ùµ¥ ¸·»ó ¹Ù¸£¸é ´Ù¸¥ ÇÚµåÅ©¸²°ú ´Þ¸® º¸½À°¨°ú ¼öºÐ°¨ÀÌ ¿À·¡ ³²½À´Ï´Ù ÈÖ¸®¸¯ »ç¶óÁöÁö¾Ê¾Æ¿ä ±×¸®°í ¸ð°øÀ» ¸·´Â°Í°°Àº ÅÓÅÓÇÔµµ ¾ø½À´Ï´Ù. ´Ù¸¥ ÇÚµåÅ©¸²Àº Çâ°ú º¸½À..( ÅÓÅÓÇÏ°í ¹¬Á÷ÇÑ ±â¸§ÀÌ ³ì´Â°Å°°Àº..) ÀÌ·¯ÇÑ ´À³¦ÀÌ¸é ¾ê´Â Ã³À½¿¡ ±×Áö°°°Ô ¹ß¸®¸é¼­µµ Á¤¸» ÃÊ¤Á¤¡ÃÊ¤Á¤¡ ­S­S! ÇÏ°í ÇÇºÎ¿¡ ¹º°¡°¡ ½º¸çµå´Â ´À³¦ÀÌ¿¡¿ä ³¿»õ´Â ¾à°£ ¿ÂÃµ¼öÇâÀÌ¶ö±î¿ä ¾Æ´Ï ³¿»õµµ Èí¼ö·Âµµ ±×Àú±×·±µ¥ º¸½ÀÀ¯Áö·Â¿¡¼­ ³î¶õ Á¦Ç°ÀÌ¶ó°í ¼³¸í µå¸±¼ö ÀÖÀ»²¨°°¾Æ¿ä,2,2022,5,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,0,0,0,0
1,1,A000000177840,dldpd****,0,0,5,1,Ç×»ó Ã¥»óÀ§¿¡ µÎ°í ¹«Á¶°Ç ¾²´Â ÁßÀÌ¿¡¿ä ´Ùµé ÀÌ°É·Î ¾²¼¼¿ä ¿©¸§¿¡µµ ²öÀûÀÓ¾øÀÌ »ç¿ë±â´ÉÇÏ°í Çâµµ °­ÇÏÁö¾Ê¾Æ¼­ °¡Á·¸ðµÎ°¡ ¾µ¼öÀÕ¾Æ¿ä!!!,1,2022,11,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
2,2,A000000177840,°í»ý³¡¿¡rock,0,0,4,0,ÈÞ´ë¼ºÀÌ ÁÁ¾Æ¼­ ¸¶À½¿¡ µé¾ú´ø Á¦Ç°ÀÌ¿¡¿ä! ´Ù¸¸ ¾ÆÁÖ ¹«ÇâÀÏ ÁÙ ¾Ë¾Ò´Âµ¥ ¹Ù¸¥ Á÷ÈÄ¿¡´Â ÇâÀÌ ²Ï ³ª³×¿ä ¤Ì¤Ì ±âºÐÀÌ ÁÁÀº ÇâÀº ¾Æ´Ï°í ±×³É ³¿»õ°¡ ³ª´Â±¸³ª ³¿»õ°¡ ÀÖ±¸³ª ½ÍÀº ±×·±...,1,2022,10,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
3,3,A000000177840,Çàº¸²Ùµö¶ì²Ù,0,0,5,0,"ÇâÀº ¾à°£... ºÎ´ãµÅ¿ä¤»¤» ¹«Çâ ÀÖÀ¸¸é ÁÁ°Ú³×¿ä
Èí¼ö°¡ ºü¸£Áø ¾ÊÁö¸¸, ±×·¸°Ô ´À¸®Áöµµ ¾Ê¾Æ¿ä.
¹«¾ùº¸´Ù º¸½ÀÀÌ ±¦Âú°í ¼ÕÀ» ¸î ¹ø ¾Ä¾îµµ ±¦ÂúÀº °Í °°°í
ÆæÀ» ÀâÀ» ÀÏÀÌ ¸¹Àºµ¥, ÇÏ³ªµµ ¾È ¹Ì²ö°Å·Á¼­ ÁÁ¾Æ¿ä",1,2022,10,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0
4,4,A000000177840,sssco,0,0,5,0,Èí¼ö°¡ Á¶±Ý ´À¸° ´À³¦ÀÌ ÀÖÁö¸¸ ±×¸¸Å­ º¸½À·ÂÀº ¶Ù¾î³ª¿ä ¹ã¿¡ ¹Ù¸£¸é ÁÁÀ»µí,1,2022,8,26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,0,0,0,0
5,5,A000000177840,aaaa****,0,0,5,0,ÇÚµåÅ©¸²ÀÌ ÃËÃËÇÏ°í ¹Ì´Ï»çÀÌÁî¶ó °¡Áö°í ´Ù´Ï±â ÁÁ°í ±Í¿©¿ö¿ä ±×¸®°í Çü¿øÀÌ°¡ ³Ê¹« ¿¹»Ú½É¿ä ±Ùµ¥ Çü¿øÀÌ´Â´©±¸ÇÑÅ× »öÀ» ´Ù »©¾Ñ°å³ªºÁ¿ä,1,2022,8,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,3,0,0,0,0
6,6,A000000177840,myr****,0,0,5,1,"ÁÁ¾Æ¿ë 
¾Æº¥´À Á¦Ç° ´Ù ÁÁ¾ÆÇØ¼­ °í¹Î ¾øÀÌ »ò¾î¿ë 
Àß ¾²°Ú½À´Ï´ç ¤¾¤µ¤¾",1,2022,8,14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
7,7,A000000177840,jiyeong****,0,0,5,1,"ÇâÀº ½Ã°£ÀÌ Áö³ª¸é ¸Ã±â ±¦ÂúÀº ÇâÀÌ¿¡¿ä! 
Á¦°¡ °¬´ø ¿Ã¸®ºê¿µ¿¡¼­´Â Å×½ºÆ®°¡ ºÒ°¡´ÉÇØ¼­ ±×°Ô ¾Æ½¬¿ü¾î¿ä! ±Ùµ¥ ´Ù¸¥ ÇÚµåÅ©¸² ¸ø ¾µ °Í °°¾Æ¿ä ´Ù¸¥ °É ½áºÃ´Âµ¥ ¼ÕÀÌ µû°¡¿ö¿ä..¤Ì¤Ì ÈÞ´ëÇÏ±â´Â ¿ÏÀü Æí¸®ÇÏ°í ÃËÃËÇØ¿ä!!",1,2022,8,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1,0,0,0,0
8,8,A000000177840,digi****,0,0,1,0,"ÇÇºÎÅ¸ÀÔ: ¼öºÎÁö. ¸ð°øÀÌ Å©°í ³Ð¾î¼­ ÇÏ·çÁ¾ÀÏ ±â¸§ÀÌ »ù¼Ú´Â ÀüÇüÀûÀÎ Áö¼ºÇÇºÎ. ±×·¯´Ùº¸´Ï ±½°í ±íÀº ¿©µå¸§ÀÌ ÀÚÁÖ³ª°í ÇÑ¹ø »ý±â¸é ±âº» µÎ´ÞÀº Áö¼Ó¤Ð¤Ð °¡¶ó¾É°í ³ª¼­µµ ºÓÀº ÀÚ±¹ÀÌ Æò»ý »ý±è!¤Ð¤Ð
±×·¡¼­ ±âÃÊ¶û ¼¼¾ÈÀ» °¡Àå Áß¿ä½Ã¿©±è. Æ®·¯ºí¿ë, ¿©µå¸§¿ë Á¦Ç°À» »ç¿ëÇÏ°í ¿µ¾çÅ©¸²À» ¹Ù¸£¸é ¹Ù·Î ¿©µå¸§ÀÌ ¿Ã¶ó¿À±â ¶§¹®¿¡ ÆÑÀ» ÀÚÁÖ »ç¿ë.
Á¦Ç°Æ¯Â¡: ¾ó±¼Àº Áö¼ºÀÎµ¥¹ÝÇØ ¾ó±¼¹ØÀ¸·Î ¸ñºÎÅÍ´Â °Ç¼ºÇÇºÎ¸¦ ÀÚ¶ûÇÔ¤Ð¤Ð Æ¯È÷ ÀÔ¼úÀÌ¶û ¼ÕÀÌ Ç×»ó °ÇÁ¶ÇØ¼­ ¸³±Û·ÎÁî¶û ÇÚµåÅ©¸²Àº Ç×»ó °¡Áö°í´Ù´Ô. ÇÚµåÅ©¸²Àº ´Ù¾çÇÏ°Ô ¸¹ÀÌ ½áºÃ´Âµ¥ ¾Æº¥´À¼­ ¼¼ÀÏµµ ÇÏ°í ¾ó±¼¿ëÁ¦Ç°Àº ÁøÂ¥ ¾È¸Â¾Æ¼­ »ì±î¸»±î °í¹ÎÇÏ´Ù »ò´Âµ¥ ¿ª½Ã³ª.. ¾È»ò¾î¾ßÇßÀ½. ¿ì¼± ÀÔ±¸ºÎºÐÀÌ ³Ê¹«Ä¿¼­ ¼Õµî¿¡ ´õ´Â °úÁ¤¿¡¼­ ÇÚµåÅ©¸²ÀÌ ÀÔ±¸ÁÖº¯¿¡ ´Ù ¹¯À½¤Ð±×¸®°í ÇâÀÌ ²Ù¸®²Ù¸® ÃÖ¾ÇÀÓ!! ´Ù½Å ¾È»ìµí",1,2022,6,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0
9,9,A000000177840,ssm0****,0,0,4,0,"°Ü¿ïÃ¶ ³» Â¦²á ÇÚµåÅ©¸²..ÄÚ·Î³ª ÀÌÈÄ ±Þ°ÝÇÏ°Ô ÇÚµåÅ©¸² ¼Òºñ·®ÀÌ ¸¹¾ÆÁ³´Âµ¥ ¾Æº¥´À ÇÚµåÅ©¸²µµ ±Ã±ÝÇØ¼­ ±¸¸ÅÇØºÃ¾î¿ä??

??Çâ: ±²ÀåÈ÷ ÀÚ¿¬(?)½º·¯¿î ÇâÀÌ°í, Å¸ ºê·£µåµéÀÇ Çâ¼ö°°Àº ´À³¦ ¾øÀÌ ¾ðÁ¦ ¾îµð¼­³ª ¹«³­ÇÏ°Ô »ç¿ëÇÒ ¼ö ÀÖ´Â ÇâÀÌ¿¡¿ä

??º¸½À·Â: º¸½À·ÂÀº ¸Å¿ì¸Å¿ì ÁÁ½À´Ï´Ù. ¼Ó±îÁö º¸½ÀµÇ´Â ´À³¦ÀÎµ¥ Ã³À½ µü ¹ß¶úÀ» ¶§ Èí¼öµÇ´Â Á¦ÇüÀº ¾Æ´Ï¶ó ¿©·¯ ¹ø ·Ñ¸µÇØÁà¾ß ÇØ¿ä. ¿ä °úÁ¤µµ ±¦Âú°Ô ´À²¸Áú¸¸Å­ °ÇÁ¶ÇÑ ¼Õ º¸½À¿£ Â¯ÀÌ¿¡¿ä!

??²öÀûÀÓ: ¿ø·¡µµ ²öÀûÀÌ´Â ¼ÕÀ¸·Î ¹» ¸¸Áö´Â °É ½È¾îÇØ¼­ Àß¶§ »©°í´Â ¼Õµî¿¡¸¸ ÇÚµåÅ©¸²À» ¹Ù¸£´Â ÆíÀÎµ¥(¤»¤»¤») ²öÀûÀÓÀº °ÅÀÇ ´À²¸ÁöÁö ¾ÊÀ» Á¤µµ·Î ÃËÃËÇÑ ÆíÀÌ¿¡¿ä. ÀÚ±â Á÷Àü¿¡ µë»Ò ¹Ù¸£°í ÀÚ´Â°Ô Á¦ÀÏ ÁÁ±ä ÇÕ´Ï´ç

³Ñ Àß ¾²°í ÀÖ±¸ °¡º±°Ô µé°í ´Ù´Ï±â ÁÁÀº ÇÚµåÅ©¸²??",1,2022,1,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,3,0,0,0,0
