,index,product_id,reviewer,reviewer_rank,specialist,user_score,on_off,review,help,year,month,day,쿨톤,지성,민감성,블랙헤드,다크서클,트러블,약건성,탄력,웜톤,홍조,아토피,주름,피지과다,모공,잡티,각질,건성,미백,all,중성,복합성,자극도,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_주름/미백에 좋아요,피부고민_진정에 좋아요
0,0,A000000175419,idid****,0,0,5,0,유튜브 보고 같은 제품인 줄 알고 구매했는데 올리브영에 없는 제품이였네요. 그래도 세안 후 해주니 촉촉하고 좋습니다,0,2022,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,1,0,1,0,0
1,1,A000000175419,None,0,0,0,0,None,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0
2,2,A000000175090,여름밤,0,0,5,1,"약산성이라 피부에 부담없이 쓰기에 좋아서 맘에 들었어요! 저도 한 민감한 피부라 아무거나 사용하면 트러블이 즉각 올라와서 고생하는데 이건 그렇지 않아서 좋았어요ㅎㅎㅎ

한쪽은 엠보싱면으로 되어 있어서 순하게 각질제거하기에도 편하고 아침에 토너대용으로 가볍게 닦아주기에도 편해서 좋더라구요! 패드 팩 하기에도 자극적이지 않고 좋아요!

드라마틱한 효과까지는 아니더라도 어느정도 눈으로 모공이 진짜 작아지는게 진짜 보여요! 물론 제가 모공이 이미 크게 넓어져서 그런지 효과가 오래 지속되는건 아니지만 꾸준하게 다른 모공 관련 화장품이랑 사용하면서 관리해주면 언젠가는 좀 줄어들거라 생각이 드네용:)

데일리로 쓰기에 좋아서 저는 매일 사용중이에요! 자극적이지 않는 패드를 찾고 계신다면 요거 추천드립니당ㅎㅎㅎ!!",20,2022,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
3,3,A000000175090,여름밤,0,0,5,1,"여름도 되고, 코시국도 되면서 모공이 늘어지고 커지는걸 더이상 방치할 수 없겠다 싶어서 모공 관련 화장품을 사서 이거저거 테스트 해보는중이에요!

저는 주로 팩으로 사용하는데 결론적으로는 만족하는 패드입니다!

제가 워낙 패드류를 좋아해서 이거저거 사서 구매해서 써보는 편인데 요 패드가 좋았던 이유는 우선 효과가 나쁘지 않았어요! 일시적이긴 하나 즉각적으로 모공이 살짝 타이트닝 되는게 진짜 눈으로 좀 보이더라구요? 물론 그 효과가 오래가진 않아도 꾸준하게 쓰면 진짜 좋을거같다는 생각이 들었어요ㅎㅎㅎ

앰플이 너무 과하지 않아서 좋았어요! 어떤 패드는 앰플이 가득 들어있어서 쓸때 오히려 액체가 너무 흘러서 닦아가면서 써야하느라 더 불편하더라구요ㅠㅠ 요거는 깔끔하게 패드 자체에 앰플이 가득 들어있어서 흐르지않고 촉촉하게 사용하기에 좋았습니다!

집게가 내장되어 있어서 편했어요! 패드쓸때 은근히 신경쓰는게 집게의 여부인데 요거는 집게를 고정할수있게 딱 되어있는걸 보고 센스있다고 생각했습니당ㅎㅎㅎ",20,2022,8,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0
4,4,A000000175090,나루03,0,0,5,0,"는
ㆍ악건성-여름에조차 기초 스킨케어를 꼼꼼하게 해야 건조하지 않을 정도입니다.
ㆍ민감성-조금만 맞지 않으면 뒤집어지고 주기적으로 여드름이 납니다.
ㆍ수부지-T존은 수부지입니다. 아침에 스킨케어해주고 오후가 되면 이마와 코에 살짝 유분기가 돌고, 밤에 스킨케어 후 아침에 일어나면 특히 이마가 기름기로 번들거려요.
ㆍ모공-코 모공이 큰 편이고 코 주변 볼에 작게 모공이 뽕뽕 뚫려있습니다. 


ㆍ촉촉함-수부지를 위한 + 모공케어 제품이라길래 기대하지 않았는데 생각보다 촉촉해요. 용기 내에 에센스가 찰랑찰랑 차 있고, 패드 자체도 에센스를 충분히 머금고 있어요. 저는 악건성이어서 그렇지만, 가벼운 스킨케어만 해도 되는 분이시라면 패드로 닦아주고 끝내주시거나 가벼운 크림을 발라 주셔도 충분할 것 같아요. 
ㆍ트러블 유무 및 자극(따가움)-트러블 및 따가움이 없어요. 피부를 쓸고 닦아내는 패드이기에 더욱더 순해야하는 제품인데, 촉촉해서인지 패드 자체의 특성 덕분인지 패드가 머금은 수분이 없어질 때까지 여러 번 닦아내도 자극적이지 않아요.
ㆍ모공 수렴-극적인 모공 수렴은 없었지만, 작은 모공은 좀 더 줄여주는 것 같아요. 다른 제품과 함께 사용하면 시너지가 올라가 모공이 작아진 게 보여요.(한스킨 블랙파우더 클렌저와 함께 사용했어요)
ㆍ유분기-아침에 일어났을 때 수분은 앗아가지 않고 겉도는 유분기가 많이 줄어 살짝 반짝거리거나 유분이 아예 사라져서 수분감만 보일 정도로 유분기가 많이 개선됐어요. 
ㆍ위생-속뚜껑과 핀셋이 있어 위생적으로 사용할 수 있고, 속뚜껑 손잡이를 사이에 두고 핀셋을 끼워놓으면 덜그럭 거리지 않아 편리해요.
ㆍ향-약간 은은한 향이 나요.
ㆍ가격 및 가성비-60매에 16500원(정가 기준)이면 가격도 괜찮은 편이고 가성비도 좋아요.
ㆍ각질정돈-허옇게 각질 일어남 없이 잘 잠재워줘요. 


ㆍ수분을 앗아가지 않고 겉도는 기름기만 잡아줌
ㆍ순함
ㆍ촉촉한 편
ㆍ위생적임
ㆍ가성비 


ㆍ딱히 없음. 


☆번들거림 제거ㆍ완화와 수분, 2가지 토끼를 모두 잡고 싶으신 분(수부지이신 분)
ㆍ번들거림이 심한 지성피부이신 분
ㆍ자극없는 순한 패드를 원하시는 분

:: 셀퓨전씨가 좋은 브랜드라고 여러 번 들어봐서 이벤트로 모공패드가 떴길래 너무 써보고 싶었는데 2~3번 도전한 끝에 써보게 되어 정말 기뻐요. 악건성이 심해 유분기로 번들거리는 이마는 포기하고 살았는데 셀퓨전씨 모공패드는 수분감은 주고, 겉도는 유분기는 가져가주니 덕분에 번들T존에서 벗어났어요. 작년에 체험단 당첨되어 써보고 너무 좋아서 또 구매했어요.",7,2021,9,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,5,A000000175090,유진찌,0,0,4,0,"🖤요즘 워낙 패드에 푹 빠져서 다양하게 사용하고 있어요! 모공톡스라는 문구에 이끌려서 꼭 써보고 싶어서 구매했어요!

✔️끈적임이 남지 않아요!
요즘 패드 제품들이 다 너무 잘 나오는 것 같아요. 다양하 기능을 갖추고 있고, 수분감도 짱짱한데 마무리가 너무 말끔한 것 같아요. 토너 대신으로 사용하는거라 끈적임이 남으면 좀 곤란한데.. 이 제품 역시 끈적임 하나없이 산뜻하게 사용할 수 있었어요!

✔️모공 축소 효과는 꾸준히 사용해봐야할 것 같아요!
모공 패드로 유명한 제로 패드도 쓰고있는데, 향 차이만 있을 뿐 똑같은 것 같았어요! 사용감도 똑같았고, 기능도 같다고 하니 꾸준히 사용해보려구요.

✔️엠보싱 처리, 얇은 패드!
집에 쌓라두고 쓰는 패드가 한 5종류인데, 저는 이런 타입의 패드가 딱 마음에 들더라구요. 너무 두꺼워도, 너무 부드러워도 사용시 불편함을 꼭 생겼던 것 같아요. 피부 자극없는 부드러운 면이자, 엠보싱 처리로 모공 구석구석까지 닦아주는! 이 패드가 딱 좋은 것 같아요. 대신 너무 문지르면 보풀이 일어날 수 있어요!

✔️조금 건조한 느낌이 있어요!😢
제가 다양한 패드를 기분에 따라 사용중인데, 다른 제품들에 비해서는 조~금 건조한 느낌이 있어요. 다른 제품들은 패드 사용 후 워낙 피부에 수분감이 넘쳐서 한참 흡수시켜준 후 기초단계를 진행했는데, 이 제품은 한장으로 닦아낼수록 패드가 빨리 마르고 건조함이 느껴지더라구요. 곧장 다음 기초 단계로 넘어가야했어요!

🧡전반적으로 만족스러운 제품이에요. 셀퓨전씨 브랜드 자체가 워낙 믿고 쓸 수 있는 브랜드라 고민없이 구매했어요. 세부적인 효능은 꾸준한 사용으로 나타나겠지만, 사용감이나 마무리감 등은 다 만족스러웠어요.",6,2021,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,6,A000000175090,우웡,0,0,4,0,"모공관련 제품으로는 메**브 제품을 처음 써보고 다음으로 쓰게 된 제품인데요. 모공 수축, 모공 축소와 관련된 효과는 두 제품 모두 크게 보지 못했어요. 눈에 보이지 않는 변화는 있었을지 모르지만, 눈에 보이는 모공 수축, 모공 축소는 없었습니다. 그 점은 상당히 아쉽지만, 파하성분으로 자극이 적은 각질케어와 약산성으로 피부에 자극을 줄이는 선택은 좋았다고 생각합니다! 메**브 제품은 자극적이라는 게 느껴져서 데일리로 사용하기에는 무리가 있었고 피부 상태가 좋지 못한 날은 작은 트러블이 올라오기도 했지만 이 제품으로 인한 트러블을 없었습니다.
-
모공톡스패드는 위생에 상당히 신경을 쓴 구성임을 뚜껑을 열자마자 알 수 있었습니다. 이중으로 막아져있는 중간마개가 제가 써 본 어떤 패드 제품보다 견고했습니다. 그리고 집게도 끝부분이 뭉툭하지 않게 잘 빠져서 패드를 집기 쉬웠습니다:) 이런 점에서 다른 패드를 사용하면서 느낀 불편이 최소화 됐다는 것을 느꼈습니다.
다만, 이 제품의 경우 다른 패드 제품들과 달리 안에 내용물(액체)가 가득하지 않아 빨리 쓰지 않으면 아래있는 패드일수록 빨리 마르겠다는 불안감이 들었습니다. 왜냐하면 찰랑거릴정도로 많이 담겨있는 패드조차 다 써갈즈음엔 대체로 내용물이 거의 남지 않았기 때문입니다. 이 부분이 잘 보완된 제품은 더**리인데 그 제품만큼의 내용물을 기대하시면 실망하실 수 있습니다ㅠㅠ
자극적이지 않은 은은한 향으로 사용할 때 거부감이 없으며, 패드는 스***스, 메**브, 비***필링패드 등과 비슷한 사용감입니다. 많이 문지르면 사진에 첨부한대로 살짝 솜이 일어나는(?)정도지만 거의 3-40회 문지른 결과이기 때문에 패드에 질이 별로다라고 할 수는 없다고 생각합니다!",6,2021,1,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
7,7,A000000175090,구름도,0,0,5,1,"1.  여러분 통이 잘 안 닫힌다고 해서 올립니다
주변 돌리면서 눌러 닫지 말고 가운데만 꾹 눌러보세요 힘을 정 가운데만 주고 누르면 꾹 닫힙니다! 원리를 모르고 안 닫힌다고 하시는 분들이 많으시더라구요(저도 처음엔 그랬)

2. 화~하거나 따가운 그런 패드가 아닌 촉촉하고 깔끔하게 정돈됩니다 너무 좋아요ㅠㅠ

3. 언니 패드 뺏어 쓰다가 너무 좋아서 샀는데 어머니께서도 너무 좋다고 말씀하셨어요! 이거로 정착할 거예요😊

4. 평소 조금 써보다가 안 좋아지는 게 많았는데.. 이건 너무 좋아요 제가 피부가 약해서 빨갛게 올라온 적 있는데 냉장고 아닌 실온에 있는 거 붙여 놓았더니 몇분 뒤 거의 완전 진정 되었어요 진짜 너무 좋아요 저렇게 안 올려두면 계속 빨간데 진짜.. 저랑 잘 맞는 상품이라 기쁩니다

정리
🌈성분이!! 깨끗하니 믿고 쓸 수 있
🌈각질정돈도 잘 됨(한 번에 빡빡 하려고 하면 피부 상합니다 꾸준히 사용 하시는 게 가장 중요해요..)
🌈 2중 뚜껑으로 패드가 마르지 않습니다 안에 에센스 ?도 많아요!(뚜껑 안 닫히는 분들 가운데만 힘주고 눌러보세요 쑤욱 들어갑니다 +가장자리 반찬 뚜껑닫듯 누르지 말고 가운데만 힘줘서 쏘옥)
🌈민감성 피부에도 진정 굿
🌈건성 피부결 정돈에 좋고 촉촉함이 오래가요(보습 이거로만 하려고 하지.말기..)
🌈운동 후 달궈진 피부 진정에 최적화(사진은 운동 후 씻은 즉시/패드 붙이고 10~15분 후!)",5,2021,7,21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,8,A000000175090,꿀꿀몽,79,0,5,1,"일주일특가로 9900원에 구매했었습니다. 너무 만족하며 사용중인 몇 안되는 패드중에 하나에요, 모공케어를 해준다는 말에 속는셈 치고 구매했습니다. 패드는 워낙 자극적인 제품들이 많아서 무난하기만해도 구매에 성공한 느낌을 받고있는데, 일단 이 제품은 뒤집어지거나 하는 것 없이 무난했습니다. 여드름 올라오는것도 없었어요!
모공케어는 이 제품하나로만 하기에는 환경탓이 있는 것 같아서 직접적으로 느끼지는 못했는데, 수분감이 차오르는게 느껴지고 자극이 덜하고 금방 흡수되는것만으로도 매우 만족한 제품입니다.
패드가 녹색으로 물들어있고 점성이 약한 에센스가 듬뿍 뭍혀저있어요, 구매한지 2달정도 지나서 이제 다 써가는데 아직까지도 패드에 에센스가 촉촉하게 뭍어있어요 재구매의사 있습니다!",4,2022,7,20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0
9,9,A000000175090,오휘옹,320,1,5,0,"일주일특가 뜬거 보고 바로 구매했어요!! 

셀퓨전씨 선크림만 사용해봤는데 패드도 있는지 몰랐어요 ! 
마스크에 후덥한 날씨 때문에 모공관련 세럼 찾고 있었는데 모공수축효과있는 패드라길래 이거다 싶었네요 !! 
셀퓨전씨꺼라 순하다는건 믿고 구매했어요!! 

에센스 함유량 정말 많고 엠보싱있는 면으로 닦으면 모공이 조이는 느낌이 들어요 !  

꾸준히 사용하면 효과가 확실히 있을거 같아 기대 되네요 ㅎㅎ 

일주일 특가 이제 끝나지만 다 쓰고 재구매할 의사도 있어요 !! 

피부가 민감해서 매일 사용은 안하고 주 2~3회 정도 토너대신 토너패드로 닦아주고 있어요~
그래도 자극이 없을 순 없기 때문에 손에 최대한 힘을 빼고 닦아서 사용하세요 !! 

일주일 특가로 오랜만에 좋은제품 산 거 같아서 좋아요!! 

패드 찾으시는 분들 추천드려요!!",4,2022,5,21,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
