,product_id,product_name,imgpaths,brands,prices,rev_score,category1,category2,category3,r1s,r2s,r3s,r1_info1,r1_sf,r1_info2,r1_nor,r1_info3,r1_usf,r2_info1,r2_sf,r2_info2,r2_nor,r2_info3,r2_usf,r3_info1,r3_sf,r3_info2,r3_nor,r3_info3,r3_usf
0,A000000178893001,라로슈포제 퓨어 나이아신아마이드 10 세럼 30ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017889302ko.jpg?l=ko,라로슈포제,"52,000",0.0,더모 코스메틱,스킨케어,에센스/세럼,None,None,None,None,none,none,none,none,none,None,none,none,none,none,none,None,none,none,none,none,none
1,A000000178576001,센텔리안24 마데카 옴므 수딩 토너 스페셜 2종 기획(토너 150ml + 클렌징 50ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017857601ko.jpg?l=ko,센텔리안24,"27,000",4.8,더모 코스메틱,스킨케어,스킨/토너,None,None,None,None,none,none,none,none,none,None,none,none,none,none,none,None,none,none,none,none,none
2,A000000178575001,센텔리안24 마데카 옴므 2종 스페셜 기획(토너 150ml + 쉐이브 50ml + 클렌징 50ml 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017857501ko.jpg?l=ko,센텔리안24,"56,500",0.0,더모 코스메틱,스킨케어,스킨케어 세트,None,None,None,None,none,none,none,none,none,None,none,none,none,none,none,None,none,none,none,none,none
3,A000000177895001,[올리브영 한정기획] 피지오겔 DMT 로션 200ml 기획(+토너 50ml 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017789503ko.jpg?l=ko,피지오겔,"38,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,58%,복합성에 좋아요,42%,지성에 좋아요,0%,보습에 좋아요,84%,진정에 좋아요,16%,주름/미백에 좋아요,0%,자극없이 순해요,84%,보통이에요,16%,자극이 느껴져요,0%
4,A000000177893001,[한정기획] 피지오겔 레드수딩 AI 진정보습 크림 100ml 기획(+50ml 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017789303ko.jpg?l=ko,피지오겔,"58,500",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,50%,복합성에 좋아요,45%,지성에 좋아요,5%,보습에 좋아요,66%,진정에 좋아요,32%,주름/미백에 좋아요,2%,자극없이 순해요,80%,보통이에요,18%,자극이 느껴져요,2%
5,A000000177892001,[한정기획]피지오겔 DMT 보습크림 150ml+75ml기획(+릴리프밤 10ml),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017789203ko.jpg?l=ko,피지오겔,"55,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,52%,복합성에 좋아요,39%,지성에 좋아요,9%,보습에 좋아요,76%,진정에 좋아요,24%,주름/미백에 좋아요,0%,자극없이 순해요,79%,보통이에요,21%,자극이 느껴져요,0%
6,A000000177890001,[1+1] 피지오겔 DMT 에센스 인 토너 200+200ml 기획,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017789003ko.jpg?l=ko,피지오겔,"30,000",4.8,더모 코스메틱,스킨케어,스킨/토너,피부타입,피부고민,자극도,건성에 좋아요,60%,복합성에 좋아요,40%,지성에 좋아요,0%,보습에 좋아요,100%,진정에 좋아요,0%,주름/미백에 좋아요,0%,자극없이 순해요,90%,보통이에요,10%,자극이 느껴져요,0%
7,A000000177885001,[NEW] 피지오겔 레드수딩 AI 어드밴스드 릴리프밤 75ml,https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017788501ko.jpg?l=ko,피지오겔,"36,500",4.9,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,54%,복합성에 좋아요,46%,지성에 좋아요,0%,보습에 좋아요,38%,진정에 좋아요,62%,주름/미백에 좋아요,0%,자극없이 순해요,92%,보통이에요,8%,자극이 느껴져요,0%
8,A000000177839001,[한정기획]아벤느 이드랑스 에센스 인 로션 200ml 1+1 기획(파우치 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017783904ko.jpg?l=ko,아벤느,"30,000",4.8,더모 코스메틱,스킨케어,에센스/세럼,피부타입,피부고민,자극도,건성에 좋아요,45%,복합성에 좋아요,49%,지성에 좋아요,7%,보습에 좋아요,76%,진정에 좋아요,24%,주름/미백에 좋아요,0%,자극없이 순해요,78%,보통이에요,22%,자극이 느껴져요,0%
9,A000000177838001,[현재PICK] NEW 아벤느 이드랑스 아쿠아 크림-인-젤 EX 50ml 기획(파우치 증정),https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017783805ko.jpg?l=ko,아벤느,"31,000",4.8,더모 코스메틱,스킨케어,로션/크림/올인원,피부타입,피부고민,자극도,건성에 좋아요,38%,복합성에 좋아요,56%,지성에 좋아요,7%,보습에 좋아요,82%,진정에 좋아요,18%,주름/미백에 좋아요,0%,자극없이 순해요,80%,보통이에요,20%,자극이 느껴져요,0%
