,index,product_id,reviewer,reviewer_rank,specialist,user_score,on_off,review,help,year,month,day,아토피,쿨톤,all,탄력,웜톤,건성,피지과다,모공,트러블,각질,잡티,블랙헤드,약건성,홍조,중성,주름,다크서클,복합성,민감성,미백,지성,발림성,자극도,피부타입_건성에_좋아요,피부타입_복합성에_좋아요,피부타입_지성에_좋아요
0,0,A000000177783,Goforit,0,0,5,0,"코로나로 최애 썬크림은 사실 라운드어라운드였어요
마스크 쓰고 모자쓰니 편하게 쓱쓱 잘발리는걸 선호했어요
그런면에서 있어서는 자극없고
(전 눈이 예민해서 아무거나 못씁니당ㅜㅜ)
발림이 좋은 라운드어라운드가 최고였어요.

그런데 요즘 활동이 잦아지면서 요 선크림의 단점이
부각되기 시작했어요
워낙 커버는 아주 많이 되는 건 아니란건 알고있었는데
햇볕이 따사로와져서일까요 요즘 유난히 얼굴 잡티가
선명해보이는거 같은거에요ㅜㅜ

그래서 정말 오랜만에 라로슈포제 톤업라이트를
꺼내서 발라봤는데... 어머나.... 
갑자기 얼굴이 화사해지는거에요 이런이런...
그래 너였어..
괜히 이름이 톤업이 아니지...
하며 아주 잘 사용하고 있답니다^^
거의 다써서 재구매한거에용~

라운드어라운드 안녕...
(대용량이라서 아직 많이 남았는데 여름에 몸에 바르려구요ㅋ)

베이스로 깔아주기 너무 좋구요
정말 이거만 발라도 쌩얼인듯 아닌듯
커버가 잘되고 약간 물광느낌도 나서 좋습니다
그리고 눈에 자극이 없어요! 

다만 아쉬운건 원래 쓰던것도 23년 1월까지고
이번에 받은것도 유통기한이 23년 1월까지네용
최신제품이었으면 더 좋았을꺼 같아요~",23,2021,2,28,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,1,0,0
1,1,A000000177783,설화님,932,0,5,1,"💜 건성이며 광 + 톤업이 살짝 되는 순한 선크림을 찾으셨던 분들은 이 제품을 추천합니다 💜

저는 무조건 광과 톤업을 중요시 하는 사람으로써 기존에 무기자차 .. 순한 선크림 .. 백탁없는.. 키워드 들과는 안맞았던 사람이였어요 - 근데 이 제품이 항상 상위 링크에 있어서 알고는 있었지만 가격이 고가라고 느껴져서 구매는 안했었어요.
지난 저를 반성합니다.. 역시 인기순위는 거짓말을 안하네요 ㅎ..!! 취향의 차이일뿐 제품력은 너무 우수하네요 .. 더군다나 라로슈포제라 성분도 착한거같아요. 저는 선크림에는 과하게 민감한 편이 아니기도 하고 약국 브랜드다 보니 더더욱 순했습니다 ㅎㅎ
건성러 분들 정말 추천해요 
(유일한 단점은.. 용량대비 가격 ?..)",22,2020,9,26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,3,1,0,0
2,2,A000000177783,pinkyrian,0,0,5,0,"넘 써보고 싶었던 톤업 썬크림.
매장에 가서 테스트 해보고 이번에 새로나온 핑크빛나는
것도 혹했는데, 예쁘게 피부 표현이 되는 걸 보고
바로 이걸로 결정했지요^^
저는 쿨톤 피부톤인데 요즘 얼굴이 좀 누르끼끼 해지고
얼굴도 늙는 건지 좀 샤방샤방해지고 픈 맘이 들어
이것 저것 많이 알아봤거든요,
라로슈포제는 제가 쓰는 브랜드라 그냥 믿고 고민했어요

⛔️결과는 고민하지 말껄 그랬다에요
정말 밝고 환한 피부톤 보정효과가 확실한 제품이였고
살짝 동동 뜰까 걱정했는데 기초 꼼꼼히 바르면
촉촉하게 피부결도 예쁘게 적당한 윤광으로 
표현이 되어요

✔️메이크업 베이스겸용 데일리 UV케어
✔️민간성 피부에 사용하기 적합함
✔️SPF 50+
✔️30ml 생각보다 작은 용량이 아니에요
(케이스가 단조로워 더 작게 느껴지는 것 뿐임)",17,2021,4,17,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,3,1,0,0
3,3,A000000177783,kn****,0,0,5,0,"라로슈포제 썬크림은
멜티드, 틴티드, 아쿠아 젤  써보고 
톤업을 구입했습니다.
모두 순하고 무향이라 좋아요
끈적임이 정말 적어요

톤업은 멜티드보단 좀더 하얀 느낌인데
틴티드가 좀 더 피부를 깨끗하게 정리해주는 느낌이에요
멜티드도 조금은 하얗게 되는데 백탁은 없는정도",11,2019,5,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,0
4,4,A000000177783,Anniee,1116,0,5,0,"화장을 정말 잘 안하고 다녔던지라.. 간혹 화장을 하기도 하지만 
저는 정말 맨얼굴에 잘 다녔거든요 
근데 나이가 들수록 너무 민낯은 조금 부끄럽더라고요 
썬크림은 하나만 바르면 너무 번들거려서 밑 화장을 더 하게 되는데 
톤업 크림은 하나만 사용해도 썬크림 효과와 함께 피부톤이 환해지기도 해서 너무 좋아요 

처음에 바르면 백탁 현상이 나타나는듯 하지만 
시간을 조금 충분히 주며 톡톡 발라주면 제 피부톤보다 환해지면서 촉촉하게 스며들어요 

그래서 톤업크림을 수시로 사용하는데 정말 이 제품만한게 없어요 

재작년 코로나 터지고 마스크 사용하고 다니면서 다시 예전으로 돌아가 민낯으로 다니다보니 
마스크도 가려지지 않은 피부에 주근깨도 생기고 기미도 생겨나는거 같아 다시 톤업 크림을 사용하고 있답니다 

예민, 민감한 피부라 잘못 사용하면 금방 붉어지고 염증이 생기는데 이 제품은 워낙 순해서 그런게 없어요 
가렵거나 따가움도 없고요 
피부를 보호하는 성분들이 들어있어 진정효과도 있다고 해요 

저는 쿨톤보다는 웜톤에 가까운 피부이기는 하나, 
웜톤 피부용이라는 톤업 로지보다 톤업 라이트가 제 피부에 더 잘 맞는것 같아요 

50ml 용량을 여러개 구매해 챙겨놓았더니 그동안 걱정없이 사용하고 있었는데 
얼마전에 보니까 하나 남았더라고요 
50ml 용량이라고 해도 수시로 사용하다보면 금방 사용하는지라 다시 챙겨두려고 하니 30ml만 판매를 하네요 

오늘드림으로 픽업하러 매장에 갔다가 문의하니 발주금지 제품이래요 
혹여 단종되는건 아닐까 걱정은 되지만.. 30ml라도 판매가 되고 있으니 안심을 해요 ㅠㅠ 
근데 용량 너무 작아요 사진에서 차이가 확연히 나죠 
50ml도 대용량 아닌데.. 30ml는 진짜 순삭 사용할것 같아요 

대용량 판매 다시 해주세요~ ㅠㅠ
그리고 라로슈포제 일시품절 상품들이 너무 많아요 구매 가능하게 해주세요~",9,2022,1,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3,3,0,1,0
5,5,A000000177783,JayH,1726,0,5,1,"느으으으으을 쓰는 제품이에요. 네통째 사용중. 약간 핑크돌아서 쿨톤에게 메베 대용으로 좋아요. 전 파데 안하는날 이것만 바르고 다녀요..
ㅋㅋㅋㅋㅋ 얘만 바르고 나가도 피부 좋다는 얘기 들을 수 있어요 ㅎㅎ 엄청 촉촉하다 이건 아니지만 촉촉한 편이에요. 제 인생 선크림 ㅎㅎ",9,2020,1,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3,1,0,0
6,6,A000000177783,솔직한리뷰왕,1135,0,5,0,"라포슈포제를 싫어하는 사람이 있을까요?
아주 얇고 홍조도 있는데 잡티는 애초부터 가릴생각이 없었구요~얇게 잘 발리면서 자극없이 톤업이 됩니다",8,2020,8,15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,0
7,7,A000000177783,perf****,0,0,2,1,"여러개 샀는데 속상해요 이런피부트러블은처음
이네요맬트인크림은 정말 좋았는데
ㅠㅠ",7,2021,5,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0,0,1
8,8,A000000177783,602kim,543,0,4,0,"좋은 점 : 톤업 선크림 이름에 맞게 기본에 충실한 톤업 선크림! 이 상품 구매하기 전까지 톤업 기능 없는 기본 선크림만 쓰다가 이 제품 쓰니까 확실히 환-해져서 요즘 같은 마스크 쓰고 다니는 시기에 이것만 바르기에도 딱인 것 같아요

아쉬운 점 : 촉촉하다고 한 리뷰를 많이 봤는데 생각보다 전 촉촉한 느낌은 덜 느껴져서 아쉬웠어요! (톤업 기능 없는 촉촉 선크림 계속 쓰다가 쓴 거라 더 그렇게 느껴진 것 같긴해요) 톤업 기능이 있는 제품이라 어쩔 수 없는 부분인 것 같아서 감안해야할 것 같아요

사용 추천하는 점 : 선크림 바르기 전 기초는 촉촉한 크림으로 마무리하고 발라야 더 잘 발리는 것 같아요:)",7,2021,2,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,3,0,1,0
9,9,A000000177783,어피치콜,8,1,5,0,"두번째 구매했어요~
라로슈포제는 약국브랜드로 유럽에서
유명한 제품이예요 한국으로 넘어 와서도
인기가 많은 제품이더라구요
과하지 않은 자연스러운 톤업을 원하시는 분들이
정말 좋아하실듯해요
전피부톤이 칙칙한데 이제품을 바르고 나서는
환하게 보정도되고 피부결이 좋아보이면서 촉촉하게
잘잡아 줍니다 그리고 과하지 않게 물광 느낌도 느껴지고
붉은기도 잡아주더라구요
민낯에 톤업 썬크림으로 사용해보니 완전 만족합니다
자외선 지수도 높으니 따로썬크림을 더 바르지않아도
되고 좋아요 요즘 마스크를 쓰면서 메이크업을 안하고
다녀서 피부가 더 칙칙했는데  요제품을 바르니 그나마
피부가 살짝 밝아져서 넘좋더라구요ㅎㅎ
살짝 아쉬운점은 가격이 조금 비싸다는거예요
그래도 제가발라봤던 썬크림중엔 최고여서 계속
사용할 생각이예요",7,2021,1,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,3,0,1,0
